"Paper","Property_reg","Geopol_c_a","C_study_geo","Year","seed","farmer","variety","plant","right","food","crop","system","genetic","resource","country","patent","breeding","community","protection","breeder","local","production","agricultural","law","development","state","company","public","property","research","common","agriculture","market","access","government","international","technology","national","knowledge","gene","material","product","traditional","sector","policy","process","benefit","intellectual","sovereignty","practice","legal","maize","private","diversity","people","world","land","cultivar","developing","upov","security","agreement","wheat","global","cluster"
"53_limpio.txt","Common","Western Europe","Global",2020,232,73,125,41,12,19,13,22,20,26,2,6,91,24,23,26,26,9,5,2,10,3,3,1,13,13,145,11,5,9,0,9,1,11,54,1,13,0,14,1,1,21,0,5,12,16,6,0,15,13,2,0,0,0,3,1,4,0,0,25,"1"
"54_limpio.txt","State","Western Europe","LAC",2020,112,47,4,14,28,60,34,2,5,1,20,16,0,4,1,2,18,20,14,21,8,27,31,9,7,2,0,16,14,6,31,8,4,40,0,5,3,10,1,5,11,13,1,4,29,4,4,3,3,0,17,3,14,2,0,5,0,3,0,19,"1"
"55_limpio.txt","State","Asia-Pacific","Asia-Pacific",2020,10,6,17,19,22,45,7,20,40,52,24,81,0,8,16,1,10,4,4,20,3,7,1,3,2,8,0,1,0,39,4,7,2,15,13,1,5,9,15,1,4,5,27,2,4,6,13,1,0,3,2,4,3,0,4,3,26,5,1,1,"3"
"56_limpio.txt","Private","E. Europe","E. Europe",2020,35,59,123,96,73,35,7,9,8,1,38,78,29,2,29,78,0,17,34,26,31,14,8,14,25,14,3,15,16,8,4,10,6,9,2,2,34,22,4,21,3,10,0,24,3,8,7,0,2,1,3,11,1,2,11,4,17,4,1,2,"3"
"57_limpio.txt","State","Western Europe","Asia-Pacific",2020,40,53,46,4,0,19,80,12,0,1,7,0,7,1,0,0,4,28,12,0,1,1,0,0,1,2,14,3,0,1,0,1,0,1,23,3,9,0,4,0,0,0,1,0,0,5,0,1,0,0,3,0,1,1,1,0,7,0,121,0,"1"
"58_limpio.txt","State","Western Europe","Global",2020,108,74,58,69,168,89,3,13,5,5,23,33,1,0,21,19,0,9,20,51,8,43,22,0,24,1,0,5,3,19,1,34,4,1,2,1,10,7,4,1,6,0,2,24,0,8,5,0,0,4,2,1,0,0,3,37,4,23,0,3,"3"
"59_limpio.txt","State","Western Europe","Africa",2020,301,38,0,3,0,1,2,7,6,3,7,0,6,0,0,4,4,12,8,0,2,5,85,5,0,17,3,3,10,5,1,2,2,10,6,0,0,0,0,12,11,10,1,0,0,4,0,0,5,0,0,3,1,22,0,0,0,0,0,0,"2"
"60_limpio.txt","State","Asia-Pacific","Asia-Pacific",2020,109,114,117,104,81,13,18,21,18,26,24,10,8,9,58,43,16,3,14,8,14,12,15,12,4,5,3,21,6,9,6,9,7,17,15,6,16,1,18,14,10,3,12,3,2,14,10,1,15,19,1,2,10,0,3,36,9,11,2,1,"3"
"61_limpio.txt","State","Western Europe","Asia-Pacific",2020,50,103,79,52,15,5,3,13,4,4,1,0,22,13,10,20,41,4,17,44,16,18,4,4,14,4,3,5,2,0,24,3,2,7,27,0,0,1,7,0,4,15,1,12,4,4,7,1,0,2,2,2,2,31,1,0,1,2,0,0,"3"
"62_limpio.txt","State","Asia-Pacific","Asia-Pacific",2021,11,5,106,104,40,110,4,13,9,9,35,4,11,7,68,17,16,5,18,128,16,18,2,2,28,2,2,26,5,4,10,23,3,19,0,0,6,11,2,5,7,3,49,20,14,3,40,0,0,4,24,25,3,2,5,0,28,29,0,1,"3"
"63_limpio.txt","State","Western Europe","Western Europe",2021,14,0,27,24,1,3,11,4,31,2,4,1,52,0,1,11,1,6,1,0,6,28,3,19,0,7,7,1,3,2,0,1,7,2,1,3,3,3,5,1,0,1,1,0,0,0,0,0,7,15,0,4,0,20,1,0,2,1,0,0,"3"
"64_limpio.txt","State","Western Europe","Asia-Pacific",2021,17,27,7,4,2,5,2,2,5,3,5,0,3,7,0,1,4,4,2,0,4,1,0,2,0,3,3,3,5,2,2,2,1,2,1,0,7,3,0,0,1,0,3,0,0,1,0,0,1,20,0,0,11,16,0,0,1,1,57,2,"1"
"65_limpio.txt","Private/State","Western Europe","Western Europe",2021,31,5,1,52,0,30,26,6,64,46,1,0,7,1,0,2,1,9,8,0,12,3,0,3,1,16,15,8,2,7,0,6,3,3,2,14,8,0,0,2,2,6,1,0,0,6,1,2,0,24,0,0,0,2,0,0,0,2,0,1,"3"
"66_limpio.txt","Private/State","Western Europe","Global",2021,15,30,78,30,7,3,36,26,5,2,3,31,16,0,15,21,0,14,6,7,14,2,13,2,2,3,4,0,8,0,7,3,9,3,3,41,3,8,0,0,2,5,1,1,0,11,4,2,2,0,0,0,0,0,3,1,0,2,0,2,"4"
"67_limpio.txt","Common","Western Europe","Africa",2021,171,112,118,11,0,16,10,34,3,5,4,0,25,3,5,11,31,42,2,0,13,0,3,11,2,10,11,1,3,9,2,4,0,9,12,0,2,1,26,4,2,4,3,1,0,8,0,1,4,7,0,0,1,0,4,0,6,1,0,3,"1"
"68_limpio.txt","Private/State","Western Europe","Western Europe",2021,47,5,168,94,25,5,16,13,1,1,2,2,13,33,29,19,1,13,32,14,3,21,2,5,8,0,20,8,7,0,0,3,2,15,2,0,16,2,1,10,8,5,0,5,0,2,12,0,0,1,0,1,0,0,0,5,3,0,0,0,"3"
"69_limpio.txt","Common","Western Europe","Mixed",2021,195,44,131,38,38,9,2,26,50,50,5,32,40,20,36,14,16,6,5,13,12,15,3,3,9,9,63,5,7,22,1,28,3,14,28,3,20,6,12,4,4,13,15,4,5,17,10,0,21,12,4,1,4,0,7,16,2,9,0,17,"1"
"70_limpio.txt","Private/State","Western Europe","Africa",2021,12,11,1,5,0,7,54,10,0,2,35,0,0,1,2,0,0,6,8,0,7,3,8,15,3,8,0,2,7,5,3,3,9,0,2,0,18,52,0,9,1,4,9,3,0,4,0,11,11,0,0,2,0,0,14,0,0,0,5,1,"4"
